"名称","No","説明","備考","ファイル名（1枚目）","ファイル名（２枚目）","ファイル名（３枚目）","経度","緯度","分類"
"浦守神社","1130","漁業の神様「浦安神社」のお隣に、兄弟の様に建っているこの神社は、商売の神様として崇められています。<br>埋立祈念碑が立てられており、大正９年～11年にこの周辺が埋め立てられた事が分かります。<br>地元では、浦を守る神社と言うことから「浦守神社」と名付けられたと言い伝えられています。<br>蔵の上には、正面に恵美須様、裏側に大黒様が飾られています。(2011.12.29)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1130.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1130_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1130_2.jpg","135.370240999967","33.7317009999309","きのくに風景讃歌"
"濱宮神社","1131","和歌山マリーナシティへ渡るサンブリッジの手前の海岸近くに、濱宮(はまのみや)神社があります。小さいながらも大変由緒のある神社です。第一殿には主祭神の天照皇大神（あまてらすすめおおかみ)<sup>※1</sup>が、第二殿には配祀神(はいししん)の天懸大神と国懸大神がお祀りされています。第三殿には豊鋤入姫命(とよすきいりびめのみこと)をお祀りする境内社の豊鋤入姫神社があります。<br>[天懸大神と国懸大神]<br>拝殿横には「日前大神・国懸大神」の札が架かっていますが、天懸と日前は同一神です。<br>濱宮神社の社伝によれば、<br>天孫降臨の際、三種の神器とともに両神宮の御神体、「神鏡」と「日矛」も添えられていました。神武天皇東征の後、紀氏の祖先である天道根命(あめのみちねのみこと)は、紀伊國造に任命されて、二つの御神体を授けられ毛見崎にお祀りをしたのが、日前宮の起源と考えられています。その後、崇神天皇51年、豊鋤入姫命により名草郡濱ノ宮に遷宮、垂仁天皇16年には現在の秋月の地に遷座したと伝えています。<br>※1 「天照皇大神」とは日本書紀に登場する 「天照大神」のことです。(2012.1.5)","< 駐車場 > あり","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1131.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1131_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1131_2.jpg","135.185534000066","34.1610009999489","きのくに風景讃歌"
"豊鋤入姫神社","1132","和歌山マリーナシティへ渡るサンブリッジの手前の海岸近くに、濱宮(はまのみや)神社があります。小さいながらも大変由緒のある神社です。第一殿には主祭神の天照皇大神（あまてらすすめおおかみ）が、第二殿には配祀神(はいししん)の天懸大神と国懸大神がお祀りされています。第三殿には豊鋤入姫命(とよすきいりびめのみこと)をお祀りする境内社の豊鋤入姫神社があります。<br><br>[天照皇大神と豊鋤入姫命]<br>豊鋤入姫命(とよすきいりびめのみこと)は記紀によると、崇神天皇の皇女で、母は紀伊国造荒河戸畔（あらかわとべ）の娘です。<br>社伝によれば、天照皇大神が伊勢神宮に鎮座される前に、豊鋤入姫命が天照皇大神の御霊代を携えて、安置すべき地を求めて各地を回りました。この地にも３年間滞在されたと伝えています。その後吉備の地を経て、垂仁天皇の時代に、姪の倭姫命が伊勢の五十鈴川のほとりを永久の宮地としたと伝えています。その縁にて濱宮神社は元伊勢奈久佐濱宮とも呼ばれています。<br>豊鋤入姫命の祠の隣には、姫が腰をかけたと伝えられる「腰掛け岩」があります。豊鋤入姫命は、各地を回わった健脚ぶりから「足神様」として崇敬されてきました。(2012.1.5)","< 駐車場 > あり","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1132.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1132_1.jpg","","135.185740000067","34.1609579999461","きのくに風景讃歌"
"江田組大庄屋住居跡","1133"," 串本町江田は、江戸時代には現串本町の中心部を含む江田組22カ村の中心地であったところです。今は、その面影はありませんが、大庄屋をつとめた浦氏住居跡の巨大な石垣や、海岸に残る「殿倉（とのぐら）」と呼ばれた年貢米を収納した倉庫跡の石垣が当時をしのばせてくれます。(2012.1.9)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1133.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1133_1.jpg","","135.700207000028","33.4956339998545","きのくに風景讃歌"
"浜口梧陵墓","1134","安政の大地震の際、稲むらに火をつけ津波から避難する住民を高台に導いたことで知られる濱口梧陵は、広川町で1820年（文政３年）に生まれました。梧陵は人材育成や医学の発展などにも貢献し、和歌山県議会初代議長を務める等、様々な分野で活躍しています。明治18年（1885年）、かねてからの夢であった海外渡航へ旅立ち、その視察途中ニューヨークで客死しました。梧陵の墓は、故郷広川町の静かな山の麓にあり、国の史跡に指定されています。(2012.1.10)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1134.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1134_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1134_2.jpg","135.168427000066","34.021339999897","きのくに風景讃歌"
"池ノ谷の寝仏","1135"," 串本町田並～有田間の大辺路古道はAコープ前で国道42号線から田並川を渡り、ほぼ旧国道沿いに進みます。田並川を渡った向地という住宅地と、池ノ谷に入ったところに石仏群があり、それぞれ江戸時代の年紀が入った地蔵尊と墓碑が６体ずつ集められています。池ノ谷の石仏は古道脇のスギの根元に安置されていて、ここには小さい涅槃仏（寝仏）の像があり、大変珍しいものです。<br>　古道ルートは池ノ谷の細い坂道を通って旧国道に上がります。現在この坂道はオートバイで上がれるように舗装されていますが、昔は立派な石畳道だったそうです。(2012.1.10)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1135.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1135_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1135_2.jpg","135.719390000003","33.4858629999824","きのくに風景讃歌"
"高津尾発電所 旧発電機棟","1136","高津尾発電所は日高川水系の発電所で、旧和歌山水力電気が大正７年に完成しました。昭和25年に関西電力の設備となり、現在も稼働中です。発電所の東には調整池として機能する、堤の高さ26.5ｍのフィルダム(尾曽谷ダム)があり、上流の取水口から３本のトンネルを介して調整池まで水路が導かれています。現在発電は、旧発電機棟の南に新設された新高津尾発電所の建物で行われています。<br>[旧発電機棟]<br>発電所の運転開始当初から使用されている煉瓦造りの建物。東西で高さが異なり、西側は2階で、発電機のあった東側は天井の高い1階となっています。煉瓦はイギリス積みを採用しています。窓の部分はアーチ式の開口部となっています。東側の屋根のパラペットには社章、北側には関西電力の社章、南側には和歌山水力の社章が掲げられています。和歌山県にはこれ程大規模な煉瓦蔵建造物は少なく、大変貴重です。<br>[文化財としての価値]<br>「日本の近代土木遺産」でAランクに指定されています。<br>[参考資料]<br>「和歌山県の近代化遺産」平成19年3月和歌山県教育庁発行<br>(2012.1.12)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1136.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1136_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1136_2.jpg","135.29718900002","33.9582759999341","きのくに風景讃歌"
"水軒堤防 (石堤)","1137","江戸時代(頼宣公の時代)に養翠園の北に延びる水軒浜に沿って堤防が築造されたことは知られていました。昭和初期にはすでに砂に埋まり、その後史跡指定はされたものの、詳しい調査は行われませんでした。<br>[再評価]<br>平成16年(2004年)、１号臨港線と大浦街道を&#32363;ぐ水軒交差点の拡幅工事が行われました。その際、堤防部分が大きく露出したため、詳細な発掘調査が行われました。<br>さらに南北２カ所の調査も含めて、全容が明らかになりました。<br>[調査の結果]<br>江戸時代徳川頼宣より後の18世紀後半に造られた、南北約１kmの堤防(石堤と土堤)です。高さは約４ｍで、使用されている石材は海側と上面は友が島から運ばれた和泉砂岩、陸側には緑泥片岩と和泉砂岩が使用されていました。城の石垣に近い精巧でしっかりした造りで、全国的にも珍しいものです。<br>[移築保存]<br>交差点付近で発見された堤防は、現在、上部の６段まで(全体で16段)が、南海水軒線の水軒駅跡地の水軒公園に移築保存されています。南北の２箇所の発掘地点は、保存のため埋め戻されました。(2012.1.12)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1137.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1137_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1137_2.jpg","135.151522999989","34.1953689998323","きのくに風景讃歌"
"峯の薬師堂例祭","1138"," 毎年１月12日に、山深い古座川町峰地区にある「峯の薬師堂」例祭が行われます。本尊は薬師如来で、薬師三尊像と両扉に仏法を護持する十二神将像が納められた厨子は秘仏として、年一回、この日だけ終日（7:00-17:00）ご開帳されます。<br> 薬師堂の由来はよくわかっていませんが、熊野に隠れ住んだ平維盛の息子の六代が、京都から父に会いに来た折に寄進して行ったとする伝説もあります。<br>  峰地区は今は住民２人しかいませんが、例祭には、ここを出自とする人々や、薬師如来の霊験にあやかろうとする近隣の人々で賑わいます。法要は午前10時から行われますが、以前は山伏による護摩供養も行われていたそうです。(2012.1.12)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1138.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1138_1.jpg","","135.712309000039","33.532165999914","きのくに風景讃歌"
"五島石と福石","1139","広八幡神社境内には二つの石が並んで奉納されています。<br>一つは「五島石」と呼ばれる石で、江戸時代、九州五島列島の奈良尾町（2004年に合併し現 新上五島町）に出稼ぎに行った人たちが記念として船に積み持ち帰ったと伝えられています。<br>もう一つの「福石」と刻まれた石は、明治中期頃まで行われていた力比べでこの石を持ち上げた人が記念として奉納したもので、名前とともに参拾八貫（約143kg）と刻まれています。<br>昔は神社で力比べが催され、五島石や福石などの大石が使われていました。当時の青年たちの力強さを今に伝えています。(2012.1.13)","< 駐車場 > あり","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1139.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1139_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1139_2.jpg","135.175234000056","34.017870999885","きのくに風景讃歌"
"磯間浦安神社","1140","創祀の年は不詳ですが、元禄時代の「神社改」に記されているので、300年以上の歴史を持つ由緒のある神社です。<br>三壺崎海岸の防波堤の側に鳥居があり、階段の上に神社が鎮座しています。<br>御神像（恵美須）は、普段は蟻通神社に祀られており、１月12日の「恵美須祭宵宮」に御渡りしてきます。<br><br>宵宮は、地元の漁師たちが境内に篝火を焚いて、各網元の宮入りを待ち 午後六時頃から、ほの暗い中で執り行われます。<br>恵美須像を海水につける汐かけ神事の後、恵美須像に豊漁を約束するよう声かけしながら、神酒や神饌（赤飯、イガミ）を練り付けていく、古代信仰に彩られた大変ユニークな神事です。<br>その後、神像は再び汐で洗われ、音頭取りが「伊勢節」を唄い、全員が唱和しながら神社に帰ります。<br>恵美須祭は現在、宵宮のみで本祭は行われていません。(2012.1.13）","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1140.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1140_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1140_2.jpg","135.380058000028","33.7213059999347","きのくに風景讃歌"
"ペンキ塗りの町並み","1141"," 古式捕鯨の時代からクジラの町として知られる太地の街中を歩くと、ペンキ塗りの家屋が多いことに気づきます。太平洋岸の漁師町にはペンキを塗った家が比較的多く見られるのですが、とりわけ太地町では、純和風建築でも軒並みペンキ塗りで、ある調査では80%の家屋がペンキ塗りといわれています。<br>　なぜこうなったのかについては、太地には北米への移民や捕鯨船の乗組員になって海外に出る人が多く、そうした人々がペンキ塗りの文化を持ち帰ったとする説があります。<br>　格子や木製手すりのついた和風建築や「鎧張り」技法の木造洋館、さらには石造りの土蔵なども残る太地の町並みは、漁師町の風情がただよう、未来に残すに値する建築物群であるといえましょう。(2012.1.16)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1141.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1141_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1141_2.jpg","135.944331000051","33.5910819998799","きのくに風景讃歌"
"順心寺","1142"," 太地の街中にある禅宗寺院「順心寺」は太地古式捕鯨の祖、和田家（のちの太地家）の菩提寺として歴代当主の墓所が置かれています。本堂裏手の墓地へ向かうスロープに高さ２mにもなる巨大な六地蔵が並んでいるのが目を引きます。これは延宝５年(1677年)に「網掛突取捕鯨法」を開発し、捕獲頭数を飛躍的に増やした中興の祖である太地角右衛門の息子、二代目角右衛門が、夭逝した娘の供養として貞享元年(1686年)に建立したものです。<br>　また、お寺の入口右手に庚申塔と並んで「太地浦鯨方漂流殉難供養碑」が建てられています。これは「大背美流れ」と呼ばれている遭難事件の慰霊碑で、明治11年(1878年)12月、セミクジラの親子を追って出漁した船団が強風に流され、大半の船が難破して漂流し、111名もの乗員が亡くなった、太地捕鯨史上最大の遭難事件として記憶されています。同事件については、別に「漂流人記念碑」も町内に建てられています。(2012.1.16)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1142.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1142_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1142_2.jpg","135.943987000052","33.5914839998719","きのくに風景讃歌"
"水軒浜の松林","1143","紀の川の河口から雑賀崎にかけては、かつては白砂青松の浜が広がっていました。海水浴のシーズンには大変な人出で賑わっていました。<br>昭和38年(1963年)から埋め立てが始まり、北から和歌山港、中ふ頭（万トンバース）、貯木場が作られて風景は一変しました。松林も北部の一帯を除いて、ほとんどがなくなってしまいました。平成14年(2002年)には南海和歌山港線のうち、和歌山港駅から水軒駅までの区間が廃止となり、線路撤去跡地の荒廃が進みました。<br>その後、水軒堤防の史跡指定を契機に、かつての松林の再生をして美しい「水軒浜」を後世に伝えていきたいという住民有志が集まり、「水軒の浜に松を植える会」が平成20年(2008年)に発足しました。<br>会では、2009年から松の植栽を始めています。地元の小中学生も参加して取り組みを進めています。(2012.1.17)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1143.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1143_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1143_2.jpg","135.151726999992","34.1957189998351","きのくに風景讃歌"
"松の前の庚申堂","1144"," 中国の道教から伝わった庚申信仰は、平安時代に始まり江戸時代になって盛んになった無病息災、五穀豊穣、悪疫退散を祈る民間信仰で、各地に数多くの庚申塔が建てられ、道端やお寺の境内などでよく見かけます。古座川町の文化財に指定されている松の前地区にある庚申堂では、今も毎月23日に庚申講が行われています。ここの庚申塔は江戸時代中期の正徳三年(1713年)につくられたもので、正面に本尊である青面金剛が刻まれ、その脇には２童子、邪鬼、猿が刻まれています。(2012.1.18)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1144.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1144_1.jpg","","135.677204000003","33.5707379999026","きのくに風景讃歌"
"いくさ地蔵","1145"," 古座川町添野川（そいのがわ）の日置川・田辺方面へ越える街道沿いの川岸に「いくさ地蔵」と呼ばれるお堂がひっそりと建っています。この地蔵には昔戦場から生還した若者にまつわる伝説があり、戦争が相次いだ時代には、「弾よけの地蔵」として出征兵士の無事を祈る遠来の参詣人がひきもきらなかったということです。(2012.1.19)<br>(いくさ地蔵の伝説)<br>　昔、添野川に母と暮らす彦八という若者がおり、選ばれて大坂の陣に出陣することになりました。彦八は母一人残して出発し、山をいくつも越えて田辺方面に向かいました。その途中、草むらに埋もれていたお地蔵様を見つけ、「もし無事に帰れたら、あなたを故郷に背負って帰り、手厚く祀ります」と願をかけました。やがて戦は終わり、彦八は元の山道を辿り故郷をめざしました。すると、ある場所で急に腹痛に見舞われ、一歩も先に進めなくなってしまったのです。このとき彦八は地蔵との約束を思い出し、あたりを捜すと、草むらに元の姿のままのお地蔵様がありました。彦八は約束通り、この地蔵を背負って故郷に帰り、お祀りしました。それから人々は、このお地蔵様を「いくさ地蔵」と呼ぶようになり、霊験あらたかな地蔵尊として信仰を集めるようになったということです。","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1145.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1145_1.jpg","","135.666046000052","33.626912999952","きのくに風景讃歌"
"苔神社","1146"," 古座川町の七川ダムのさらに上流に添野川（そいのがわ）地区があり、この地の産土神である若宮神社が向こう岸に祀られています。参拝者のために道路下に専用の橋が架けられています。創建年代は不明ですが、中世に承久の乱に破れ、古座川奥地に落ち延びた源氏の後裔とされる村上一族の分家で添野川の地を開いた松葉氏が、一族の氏神（十二所権現）を領地に勧請したのが始まりではないかともいわれています。<br>　明治期には、合祀令に従って、いったん村上氏の氏神である西川地区の丸山神社(元十二所権現社）に合祀されますが、遠く参詣に不便であるとの理由で、大正時代に再び分祀され、元の地に再建されたそうです。<br>　日陰で、うっそうとした川岸に建つこの神社の境内は、多雨地帯の風土のためか、美しい苔に厚く覆われ、「苔神社」とも呼べそうな風情が漂います。(2012.1.19)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1146.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1146_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1146_2.jpg","135.668879000079","33.6225529998676","きのくに風景讃歌"
"真砂集落跡と真砂舟","1147"," 七川ダムのすぐ下流にあるのが真砂（まなご）地区ですが、かつては古座川の上流に産する備長炭などの林産品と下流からもたらされる生活物資の集散地として大変賑わったところでした。司馬遼太郎の「街道をゆく」シリーズの『熊野・古座街道』に、その繁栄の様子が描かれています。<br>　真砂地区は現在でこそ10数軒ほども家が無い過疎の集落ですが、昭和初期には150軒ほどが軒を連ねる古座川上流随一の集落で、銀行が２軒、登記所も１軒あり、小学校分校、床屋に映画館もあったということです。その集落の中心地の跡が国道から山側に石段を上がったところに残っています。<br>　真砂の繁栄を支えた物流を担っていたのが、「真砂舟（まなごぶね）」と呼ばれていた全長約８m、幅1.2mほどの川舟で、約800kgほどの荷を積み、帆を揚げ船団を組んで古座川を往来していました。現在七川ダムの堰堤があるあたりにかつては滝があり、それ以上は舟が上れなかったので、最上流の物流ターミナルとして真砂は栄えたわけですが、やがて道路が整備されるとともにトラック輸送が川舟に取って代わり、さらにエネルギー革命によって炭の生産も下火になり、真砂舟も真砂集落も急速に衰えてゆきました。昭和20年代後半にダム建設によって一時的に賑わいを取り戻しますが、それもつかのまで、集落跡や、かつて川舟が並んでいた船着き場跡を見ると、近代化遺跡として、物流革命やエネルギー革命による地域の栄枯盛衰をリアルに感じることができます。(2012.1.21)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1147.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1147_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1147_2.jpg","135.690036000054","33.5845219999022","きのくに風景讃歌"
"佐田発電所","1148"," 七川ダムは過去何度も氾濫した古座川の洪水調節と豊富な水量を利用して発電を行う多目的ダムとして和歌山県が建設し、昭和31年(1956年)に完成しました。水力発電についてはダム湖側面の取水口から水を山腹を貫く落差約55mの一本の水圧鉄管に導き、ダム下流に設置した佐田発電所内の水車発電機を回し、最大7,200kwの認可出力を得ています。佐田発電所は平成17年(2005年)に和歌山県から関西電力（株）に移管されました。(2012.1.21)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1148.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1148_1.jpg","","135.688941000089","33.5891509999002","きのくに風景讃歌"
"田並の矢倉神社","1149"," 田並川を遡った山間の集落の外れに「矢倉神社」と呼ばれる場所があります。巨木に囲まれた空間には山に向かって石灯籠と簡素な石垣、そして正面中央に丸石が祀られています。神社と呼ばれるにしては鳥居も無く、社殿も祠もありません。こうした神社を「無社殿神社」あるいは「古代社」と呼んでいます。<br>　幕末に紀州藩の手で編纂された『紀伊続風土記』には、熊野地方の村々に「矢倉神社」「矢倉明神の森」などと書かれた神社が多く記述されています。それらの多くは木や岩などを神として祀り、なじんだ記紀神話の神の名はありません。こうした神社は古代の自然崇拝の名残をとどめる原始的神社と考えられています。矢倉神社の多くは明治の神社合祀令によって消滅したものが多いのですが、今も地域の人々によってひっそりと祀られている無社殿神社も各地に残っています。(2012.1.22)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1149.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1149_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1149_2.jpg","135.716643000092","33.5070129998576","きのくに風景讃歌"
"粉河産土神社","1150","粉河寺には神仏習合の歴史を今に伝えるように、本堂の北西側の小高いところに「粉河産土神社」が鎮座しています。粉河寺を創建した大伴氏が、同じ頃に主祭神の丹生都比売命を勧請したことに始まると考えられます。現在主祭神は丹生都比売命(ニウツヒメノミコト)と天忍穂耳命(アメノオシホミミノミコト)、配祭神は創建に関わった大伴格子古(オオトモノクシコ)とその子の大伴船主命です。<br>平安時代の末期には、平維盛が参拝したことが「平家物語」に記されているように、平安・鎌倉時代の貴族には大変信仰されたようです。<br>粉河寺の鎮守の神であると共に、粉河村の鎮守社としてもあつく地元で信仰されてきました。<br>毎年旧暦の６月18日に行われる、紀州三大祭り「粉河まつり」はこの神社の祭礼です。(2012.1.23)","< 駐車場 > あり（粉河寺の駐車場：有料）","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1150.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1150_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1150_2.jpg","135.405731999957","34.2812789999733","きのくに風景讃歌"
"旧南丘家住宅","1151","粉河寺参道の東側に流れる長屋川沿いに、江戸時代後期のものと思われる旧家が残っています。「旧南丘家住宅」と呼ばれ、現在紀の川市の文化財に指定する方向で、保存活用策が検討されているようです。<br>道に面した主屋と離れと蔵があり、主屋は切妻屋根のつし２階建てす。２階部分には虫籠窓が見られます。１階部分の道路に面した座敷の窓側には格子があります。家は低い石垣(野面積み)を基礎にして建てられています。<br>「旧南丘住宅」は江戸時代の藩士の住宅で、紀州藩の鷹狩りの準備を行う(餌にする小鳥の調達)「餌差(えさし)」と呼ばれる役人が居住していたと考えられています。(2012.1.23)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1151.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1151_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1151_2.jpg","135.404315999949","34.278967999964","きのくに風景讃歌"
"いそぎ公園","1152","公園内の「チャボの森」で、たくさんの鶏が飼育されていたことから、通称「チャボ公園」と呼ばれています。<br>チャボだけでなく、鶏や烏骨鶏、アヒルなども飼育されていましたが、鳥インフルエンザの感染を防ぐため、現在は、厳重に幾重もの金網で隔覆われ、数もずいぶん少なくなりました。<br>100円で餌を販売しており、時々、餌をやっている光景を目にしますが、以前に比べ、かなりひっそりしています。<br>広い松林を抜けると、壮大な太平洋の景色が見渡せる、絶景ポイントに出ます。<br>崖の下は釣りのスポットで、連日、釣り客で賑わっています。<br>三段壁とは、又、ひと味違う、崖の上からの眺めは、お奨めです！(2012.1.23）","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1152.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1152_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1152_2.jpg","135.343494000015","33.6595669999357","きのくに風景讃歌"
"八咫ポスト","1153","本宮大社には昔懐かしい丸型ポストが設置されています。そのポストは見慣れた赤いポストではなく、黒くて上に八咫烏の像がつけられています。<br>社務所では、平成21年に復活した本宮地域の伝統的な紙「音無紙」で作られたはがきが販売されていて、ポストから投函することができます。八咫ポストが描かれた、切手を貼ると送れる絵馬もあります。記念の八咫スタンプを押印してくれますので、旅の記念に送ってみてはいかがでしょうか。(2012.1.24)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1153.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1153_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1153_2.jpg","135.773334999931","33.8408349998822","きのくに風景讃歌"
"絶景ポイントの穴場","1154","いそぎ公園から、少し南の道を海に降りると、息をのむような、絶景が見えてきます。<br>千畳敷と三段壁の魅力を併せ持った様な光景に、初めて訪れた人は、白浜にこんな穴場が！と驚かれます！<br>いろんな地層が、洗濯板の様に出ていたり、マーブル模様になっていたり、様々な岩場や断崖絶壁が楽しめると共に、紺碧に輝く太平洋がドーンとパノラマで広がります！<br>この岩場、実は、釣り人の間では、「イサギ・ガシラ・グレ」等が釣れる、隠れスポットとして知られ、朝早くから夕方暗くなるまで、釣り客が絶えません。<br>広い岩場ですが、結構、場所取りが大変なようです。<br>降り口の目印は、「熊野枯木灘海岸県立自然公園」の看板で、道が広くなっており駐車スペースがあります。(2012.1.23）","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1154.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1154_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1154_2.jpg","135.345705000046","33.6584419999579","きのくに風景讃歌"
"アロエの花畑","1155","三段壁の近くある「キダチアロエ」の花畑が、真冬に一面、朱色の花を付け、観光客に驚きと、感動を与えています。<br>近くの土産物店が、開店した1995年、植物園や民家から株分けしてもらって栽培を始め、毎年少しずつ増やし育てているものです。<br>いまや広さ1,650平方メートルの空き地を埋め尽くし、約１万２千株にもなりました。<br>花の最盛期は、その年の気候によって変わりますが、11～12月頃から咲き始め、２月終わり頃まで楽しめます。<br>朱色の円すい状の花が、下の方から順番に咲いてゆき、どんどん伸びる様は、冬の寒さを吹き飛ばす元気を与えてくれるようです。(2012.1.24）","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1155.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1155_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1155_2.jpg","135.335409999916","33.6662419998647","きのくに風景讃歌"
